52,20,35
15,45,80
32,11,60
56,15,50
26,18,45
52,29,45
62,20,40
52,14,55
52,17,60
52,20,65
52,23,70
52,14,50
52,17,55
52,20,60
52,23,65
52,14,45
52,17,50
52,20,55
52,23,60
52,14,40
52,17,45
52,20,50
52,23,55
52,14,35
52,17,40
52,20,45
52,23,50
62,10,65
62,15,70
62,20,80
62,25,85
62,10,60
62,15,65
62,20,70
62,25,80
62,10,50
62,15,60
62,20,65
62,25,70
62,10,40
62,15,50
62,20,60
62,25,65
62,10,30
62,15,40
62,20,50
62,25,60
26,06,60
26,10,65
26,14,70
26,18,75
26,06,55
26,10,60
26,19,65
26,18,70
26,06,50
26,10,55
26,14,60
26,18,65
26,06,45
26,10,50
26,14,55
26,18,60
26,06,40
26,10,45
26,14,50
26,18,55
56,10,60
56,15,70
56,20,80
56,25,85
56,10,50
56,15,60
56,20,70
56,25,80
56,10,40
56,15,50
56,20,60
56,25,70
56,10,30
56,15,40
56,20,50
56,25,60
56,10,20
56,15,30
56,20,40
56,25,50
15,30,70
15,35,75
15,40,80
15,45,90
15,30,65
15,35,70
15,40,75
15,45,85
15,30,55
15,35,65
15,40,70
15,45,75
15,30,50
15,35,55
15,40,65
15,45,70
15,30,45
15,35,50
15,40,55
15,45,65
32,08,55
32,11,60
32,14,65
32,17,70
32,08,50
32,11,55
32,14,60
32,17,65
32,08,45
32,11,50
32,14,55
32,17,60
32,08,40
32,11,45
32,14,50
32,17,55
32,08,35
32,11,40
32,14,45
32,17,50
15,40,60
15,50,65
72,14,60
62,20,40
63,17,30
52,17,25
43,14,50
43,17,60
43,20,70
43,23,80
43,14,45
43,17,50
43,20,60
43,23,70
43,14,40
43,17,45
43,20,50
43,23,60
43,14,35
43,17,40
43,20,45
43,23,50
43,14,30
43,17,35
43,20,40
43,23,45
72,12,60
72,14,70
72,16,80
72,18,85
72,12,55
72,14,60
72,16,70
72,18,80
72,12,50
72,14,55
72,16,60
72,18,70
72,12,45
72,14,50
72,16,55
72,18,60
72,12,40
72,14,45
72,16,50
72,18,55
62,40,60
12,20,80
62,35,70
46,08,40
72,10,35
32,11,30
46,05,50
46,08,55
46,11,60
46,14,70
46,05,40
46,08,50
46,11,55
46,14,60
46,05,35
46,08,40
46,11,50
46,14,55
46,05,30
46,08,35
46,11,40
46,14,50
46,05,20
46,08,30
46,11,35
46,14,40
12,20,80
12,30,85
12,40,90
12,50,95
12,20,75
12,30,80
12,40,85
12,50,90
12,20,65
12,30,75
12,40,80
12,50,85
12,20,55
12,30,65
12,40,75
12,50,80
12,20,45
12,30,55
12,40,65
12,50,75
56,26,40
46,08,60
26,30,50
46,20,60
46,20,40
26,22,40
12,40,40
12,60,70
15,45,55
46,05,45
56,10,45
32,11,35
